product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Панчетта,902,20,Мясо,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2017-01-08,2020-01-15,2.07,Sold
2,Пицца с мясом,4472,276,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,2016-07-07,2024-04-08,2.79,Out of Stock
3,Спаржа,7088,594,Овощи,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1995-04-07,2024-02-01,2.2,Sold
4,Свекла,4763,499,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2020-01-01,2024-07-01,3.72,Temporarily Unavailable
5,Рамбутан,9294,780,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2020-01-08,2027-06-06,4.7,In Stock
6,Уксус,8923,912,Бакалея,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2013-02-09,2016-03-04,3.65,Backorder
7,Талицкая,2754,64,Напитки,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2000-01-26,2014-08-04,2.18,Awaiting Review
8,Индюшатина,129,770,Мясо,"Подходит для людей всех возрастов, включая детей и пожилых.",1998-01-03,2007-02-20,2.22,Available for Pickup
9,Черный перец горошком,986,432,Бакалея,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1999-03-15,2005-06-11,3.3,Available for Pickup
10,Ялтинская,5985,678,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2004-04-01,2008-09-04,0.88,Awaiting Payment
11,Крольчатина,9964,766,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1998-01-04,2023-10-03,1.44,Available for Pickup
12,Пакеты для Пасхи,9100,914,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1998-11-01,2019-06-02,2.24,New
13,Грудинка,2464,37,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2022-09-08,2023-04-03,0.15,Shipping
14,Апельсин,7422,154,Фрукты,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2013-02-08,2024-10-04,1.22,Temporarily Unavailable
15,Салями,3552,795,Мясо,Отличается натуральным составом и отсутствием искусственных добавок.,2020-06-16,2027-02-11,4.24,Shipping
16,Кавказская,9739,916,Напитки,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2018-04-07,2029-02-08,2.31,In Stock
17,Лен семена,6126,551,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,1994-02-02,2002-05-02,0.87,Pending
18,Озеро Медвежье,9505,777,Напитки,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1997-01-10,2021-04-03,3.29,Delivered
19,Фета,5360,55,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2001-01-01,2021-06-02,1.59,Awaiting Review
20,Моющее средство для пола,3505,336,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,2006-07-07,2017-04-09,5.01,Available for Pickup
21,Пакеты для пляжа,5431,686,Товары для дома,Придает блюдам особую нежность и насыщенность.,2004-02-04,2011-01-12,1.8,Available for Pickup
