Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Салфетки сухие,7602,101,Товары для дома,Отличается хорошим сочетанием с различными специями и приправами.,2002-02-06,2025-03-06,4.86,Cancelled
2,Буженина,3703,741,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,2014-02-01,2024-01-01,3.24,Refunded
3,Химкинская,3881,365,Напитки,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2004-01-09,2019-01-15,4.54,Awaiting Payment
4,Гранат,3564,322,Фрукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2007-02-02,2015-07-11,0.02,Out of Stock
5,Фета,1377,955,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1990-01-23,2009-05-09,1.41,Awaiting Review
6,Куриные бедра,6241,979,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-06-06,2022-07-13,1.95,Temporarily Unavailable
7,Чеснок,1908,309,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2012-01-11,2015-01-01,1.53,Backorder
8,Индейка,4233,92,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1998-03-05,2025-05-01,3.73,Sold
9,Яблоко,4915,748,Фрукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2019-04-06,2024-02-09,3.21,Delivered
10,Смоленская,3060,732,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1991-03-03,1991-03-09,1.71,On Backorder
11,Простокваша,1894,244,Молочные продукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2006-03-14,2027-01-01,2.96,Shipping
12,Масло подсолнечное,772,430,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2014-04-04,2027-03-01,1.6,Backorder
13,Голландский сыр,3147,157,Молочные продукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1996-03-07,2000-02-03,3.73,Temporarily Unavailable
14,Полотенца кухонные,4858,53,Товары для дома,Отличается простотой в использовании и хранении.,2013-05-01,2023-02-08,3.4,Refunded
15,Тэфф,9898,780,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2015-02-20,2024-01-14,1.12,In Stock
16,Мягкие игрушки,5144,946,Товары для дома,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2018-04-12,2024-03-01,2.09,Refunded
17,Шелковица,8422,980,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2002-02-05,2010-02-12,3.36,On Backorder
18,Белый шоколад,9356,784,Бакалея,Прошел сертификацию на соответствие требованиям органических стандартов.,2013-01-10,2030-06-03,0.88,Awaiting Review
19,Варенье,2077,673,Бакалея,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1998-02-06,2020-05-06,0.52,Refunded
20,Гауда,6033,163,Молочные продукты,Отличается низкой калорийностью и высоким содержанием белка.,2012-05-02,2028-01-10,4.28,In Stock
21,Пакеты для мастер-класса,8892,762,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2008-03-18,2028-03-03,0.6,In Stock
22,Сок ананасовый,8910,238,Напитки,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2022-07-06,2030-01-04,3.98,Refunded
